                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.2463,                 1.4593,                 1.1183,                0.37965,                0.56679,                 0.3546,                0.19745,                 1.3845,                 2.2531,                 1.1659,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.2455,                 1.4488,                 1.1139,                 0.4053,                0.55596,                0.36352,                0.20622,                 1.4506,                 2.4374,                 1.1986,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.2384,                 1.5014,                 1.1108,                0.38258,                0.55596,                0.36833,                0.21067,                 1.2844,                 2.2346,                 1.1269,               0.009406,               0.009406,               0.009406
                     63,                 1.2332,                 1.4448,                 1.1153,                0.39746,                0.56439,                0.37197,                0.20595,                 1.2908,                 2.1733,                 1.1234,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.2373,                  1.462,                 1.1119,                0.42483,                0.62816,                0.38635,                0.21635,                 1.3873,                  2.226,                 1.1903,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.2304,                 1.4148,                 1.1118,                0.38342,                0.62094,                0.37349,                0.21321,                 1.3519,                 2.2719,                  1.138,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.2368,                 1.4299,                 1.1067,                0.40733,                 0.4888,                0.36467,                0.20632,                  1.347,                 2.2549,                 1.1485,              0.0093664,              0.0093664,              0.0093664
                     67,                   1.22,                  1.411,                  1.102,                0.37828,                0.52708,                0.34281,                0.19601,                 1.2971,                 2.3153,                 1.1277,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.2449,                 1.4379,                  1.102,                0.35155,                0.54152,                0.32071,                0.17546,                 1.3539,                 2.4421,                 1.1503,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.2061,                 1.4222,                 1.1042,                0.41953,                0.61733,                0.39895,                0.23739,                 1.2682,                 2.5093,                 1.1337,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.1957,                 1.4065,                 1.0928,                0.37478,                0.59206,                0.38683,                0.22845,                 1.2494,                 2.2227,                  1.106,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.2076,                 1.3876,                 1.0983,                0.39351,                0.52708,                0.37589,                 0.2239,                 1.2674,                 2.1846,                 1.1166,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.1798,                 1.3582,                 1.0853,                0.38776,                0.59567,                0.38613,                0.22425,                 1.3446,                 2.2689,                 1.1493,               0.009307,               0.009307,               0.009307
                     73,                  1.192,                 1.3596,                 1.0986,                0.41013,                0.60289,                0.38359,                0.21782,                 1.3144,                 2.4241,                  1.146,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.1955,                 1.3717,                 1.0875,                0.41546,                0.49097,                0.36288,                0.21526,                 1.2969,                 2.3796,                 1.1322,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.1888,                 1.4057,                 1.0958,                0.44315,                0.55235,                0.39734,                0.23231,                 1.3102,                 2.4007,                 1.1335,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.1747,                 1.3437,                  1.082,                0.37888,                0.51264,                 0.3562,                0.21096,                 1.3753,                 2.2783,                 1.1853,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.1946,                 1.3493,                 1.0964,                0.37445,                0.59206,                0.35464,                0.20561,                 1.3188,                 2.7288,                 1.1277,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.1584,                 1.2903,                 1.0704,                 0.3634,                0.54874,                0.36515,                0.21548,                 1.2944,                 2.4089,                 1.1276,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.1849,                 1.3336,                 1.0764,                0.39855,                0.40433,                0.32513,                0.19412,                 1.3896,                 2.5274,                 1.1845,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.1767,                 1.3083,                 1.0844,                0.39831,                0.51986,                0.37888,                0.22362,                 1.3382,                 2.2787,                 1.1548,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.1477,                 1.2956,                 1.0674,                0.45659,                0.68231,                0.42331,                0.24912,                 1.3107,                 2.2765,                 1.1435,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.1534,                 1.2672,                  1.073,                0.39634,                0.57401,                0.35943,                0.21486,                 1.3001,                 2.4858,                   1.15,               0.009208,               0.009208,               0.009208
                     83,                 1.1518,                 1.2989,                 1.0708,                0.37946,                0.57401,                0.36322,                0.21878,                 1.3322,                 2.4133,                 1.1685,              0.0091981,              0.0091981,              0.0091981
